Age;BusinessTravel;DailyRate;Department;DistanceFromHome;Education;EducationField;EnvironmentSatisfaction;Gender;HourlyRate;JobInvolvement;JobLevel;JobRole;JobSatisfaction;MaritalStatus;MonthlyIncome;MonthlyRate;NumCompaniesWorked;OverTime;PercentSalaryHike;PerformanceRating;RelationshipSatisfaction;StockOptionLevel;TotalWorkingYears;TrainingTimesLastYear;WorkLifeBalance;YearsAtCompany;YearsInCurrentRole;YearsSinceLastPromotion;YearsWithCurrManager;Explicar
37;Travel_Rarely;1141;Research & Development;11;2;Medical;1;Female;61;1;2;Healthcare Representative;2;Married;4777;14382;5;No;15;3;1;0;15;2;1;1;0;0;0;0
46;Travel_Rarely;1254;Sales;10;3;Life Sciences;3;Female;64;3;3;Sales Executive;2;Married;7314;14011;5;No;21;4;3;3;14;2;3;8;7;0;7;0
27;Travel_Rarely;199;Research & Development;6;3;Life Sciences;4;Male;55;2;1;Research Scientist;3;Married;2539;7950;1;No;13;3;3;1;4;0;3;4;2;2;2;0
43;Travel_Rarely;1372;Sales;9;3;Marketing;1;Female;85;1;2;Sales Executive;3;Single;5346;9489;8;No;13;3;2;0;7;2;2;4;3;1;3;0
41;Travel_Rarely;802;Sales;9;1;Life Sciences;3;Male;96;3;3;Sales Executive;3;Divorced;8189;21196;3;Yes;13;3;3;1;12;2;3;9;7;0;7;0
40;Travel_Rarely;658;Sales;10;4;Marketing;1;Male;67;2;3;Sales Executive;2;Divorced;9705;20652;2;No;12;3;2;1;11;2;2;1;0;0;0;0
22;Non-Travel;1123;Research & Development;16;2;Medical;4;Male;96;4;1;Laboratory Technician;4;Divorced;2935;7324;1;Yes;13;3;2;2;1;2;2;1;0;0;0;0
33;Non-Travel;775;Research & Development;4;3;Technical Degree;4;Male;90;3;2;Research Scientist;2;Divorced;3055;6194;5;No;15;3;4;2;11;2;2;9;8;1;7;0
34;Travel_Rarely;470;Research & Development;2;4;Life Sciences;4;Male;84;2;2;Manufacturing Director;1;Married;5957;23687;6;No;13;3;2;1;13;3;3;11;9;5;9;0
39;Travel_Rarely;1431;Research & Development;1;4;Medical;3;Female;96;3;1;Laboratory Technician;3;Divorced;2232;15417;7;No;14;3;3;3;7;1;3;3;2;1;2;0
49;Non-Travel;1002;Research & Development;18;4;Life Sciences;4;Male;92;3;2;Manufacturing Director;4;Divorced;6804;23793;1;Yes;15;3;1;2;7;0;3;7;7;1;7;0
34;Travel_Rarely;970;Research & Development;8;2;Medical;2;Female;96;3;2;Healthcare Representative;3;Single;6142;7360;3;No;11;3;4;0;10;2;3;5;1;4;3;0
38;Travel_Frequently;594;Research & Development;2;2;Medical;3;Female;75;2;1;Laboratory Technician;2;Married;2468;15963;4;No;14;3;2;1;9;4;2;6;1;0;5;0
26;Travel_Rarely;471;Research & Development;24;3;Technical Degree;3;Male;66;1;1;Laboratory Technician;4;Single;2340;23213;1;Yes;18;3;2;0;1;3;1;1;0;0;0;0
25;Travel_Frequently;772;Research & Development;2;1;Life Sciences;4;Male;77;4;2;Manufacturing Director;3;Divorced;5206;4973;1;No;17;3;3;2;7;6;3;7;7;0;7;0
34;Travel_Frequently;648;Human Resources;11;3;Life Sciences;3;Male;56;2;2;Human Resources;2;Married;4490;21833;4;No;11;3;4;2;14;5;4;10;9;1;8;1
28;Travel_Rarely;1451;Research & Development;2;1;Life Sciences;1;Male;67;2;1;Research Scientist;2;Married;3201;19911;0;No;17;3;1;0;6;2;1;5;3;0;4;0
